"","Country_Region","confirmed","deaths","recovered","date"
"2269","Lithuania",3,0,0,2020-03-12
"2270","Luxembourg",19,0,0,2020-03-12
"2271","Mainland China",0,0,0,2020-03-12
"2272","Malaysia",149,0,26,2020-03-12
"2273","Maldives",8,0,0,2020-03-12
"2274","Malta",6,0,0,2020-03-12
"2275","Martinique",3,0,0,2020-03-12
"2276","Mexico",12,0,4,2020-03-12
"2277","Moldova",3,0,0,2020-03-12
"2278","Monaco",2,0,0,2020-03-12
"2279","Mongolia",1,0,0,2020-03-12
"2280","Morocco",6,1,0,2020-03-12
"2281","Nepal",1,0,1,2020-03-12
"2282","Netherlands",503,5,0,2020-03-12
"2283","New Zealand",5,0,0,2020-03-12
"2284","Nigeria",2,0,0,2020-03-12
"2285","North Macedonia",7,0,0,2020-03-12
"2286","Norway",702,0,1,2020-03-12
"2287","occupied Palestinian territory",0,0,0,2020-03-12
"2288","Oman",18,0,9,2020-03-12
"2289","Pakistan",20,0,2,2020-03-12
"2290","Panama",11,1,0,2020-03-12
"2291","Paraguay",5,0,0,2020-03-12
"2292","Peru",15,0,0,2020-03-12
"2293","Philippines",52,2,2,2020-03-12
"2294","Poland",49,1,0,2020-03-12
"2295","Portugal",59,0,0,2020-03-12
"2296","Qatar",262,0,0,2020-03-12
"2297","Reunion",1,0,0,2020-03-12
"2298","Romania",49,0,6,2020-03-12
"2299","Russia",28,0,3,2020-03-12
"2300","San Marino",69,3,0,2020-03-12
"2301","Saudi Arabia",45,0,1,2020-03-12
"2302","Senegal",4,0,1,2020-03-12
"2303","Serbia",19,0,0,2020-03-12
"2304","Singapore",178,0,96,2020-03-12
"2305","Slovakia",16,0,0,2020-03-12
"2306","Slovenia",89,0,0,2020-03-12
"2307","South Africa",17,0,0,2020-03-12
"2308","Spain",2277,55,183,2020-03-12
"2309","Sri Lanka",2,0,1,2020-03-12
"2310","Sweden",599,1,1,2020-03-12
"2311","Switzerland",652,4,4,2020-03-12
"2312","Taiwan*",49,1,20,2020-03-12
"2313","Thailand",70,1,34,2020-03-12
"2314","Togo",1,0,0,2020-03-12
"2315","Tunisia",7,0,0,2020-03-12
"2316","Turkey",1,0,0,2020-03-12
"2317","Ukraine",1,0,0,2020-03-12
"2318","United Arab Emirates",85,0,17,2020-03-12
"2319","United Kingdom",459,8,19,2020-03-12
"2320","US",1663,40,12,2020-03-12
"2321","Vietnam",39,0,16,2020-03-12
"2322","Afghanistan",7,0,0,2020-03-13
"2323","Albania",33,1,0,2020-03-13
"2324","Algeria",26,2,8,2020-03-13
"2325","Andorra",1,0,0,2020-03-13
"2326","Antigua and Barbuda",1,0,0,2020-03-13
"2327","Argentina",31,2,0,2020-03-13
"2328","Armenia",8,0,0,2020-03-13
"2329","Aruba",2,0,0,2020-03-13
"2330","Australia",200,3,23,2020-03-13
"2331","Austria",504,1,6,2020-03-13
"2332","Azerbaijan",15,1,3,2020-03-13
"2333","Bahrain",189,0,44,2020-03-13
"2334","Bangladesh",3,0,0,2020-03-13
"2335","Belarus",27,0,3,2020-03-13
"2336","Belgium",559,3,1,2020-03-13
"2337","Bhutan",1,0,0,2020-03-13
"2338","Bolivia",3,0,0,2020-03-13
"2339","Bosnia and Herzegovina",13,0,0,2020-03-13
"2340","Brazil",151,0,0,2020-03-13
"2341","Brunei",37,0,0,2020-03-13
"2342","Bulgaria",23,1,0,2020-03-13
"2343","Burkina Faso",2,0,0,2020-03-13
"2344","Cambodia",5,0,1,2020-03-13
"2345","Cameroon",2,0,0,2020-03-13
"2346","Canada",193,1,8,2020-03-13
"2347","Cayman Islands",1,0,0,2020-03-13
"2348","Chile",43,0,0,2020-03-13
"2349","China",80945,3180,64196,2020-03-13
"2350","Colombia",13,0,0,2020-03-13
"2351","Congo (Kinshasa)",2,0,0,2020-03-13
"2352","Costa Rica",23,0,0,2020-03-13
"2353","Cote d'Ivoire",1,0,0,2020-03-13
"2354","Croatia",32,0,1,2020-03-13
"2355","Cruise Ship",696,7,325,2020-03-13
"2356","Cuba",4,0,0,2020-03-13
"2357","Cyprus",14,0,0,2020-03-13
"2358","Czechia",141,0,0,2020-03-13
"2359","Denmark",804,0,1,2020-03-13
"2360","Dominican Republic",5,0,0,2020-03-13
"2361","Ecuador",17,0,0,2020-03-13
"2362","Egypt",80,2,27,2020-03-13
"2363","Estonia",79,0,0,2020-03-13
"2364","Ethiopia",1,0,0,2020-03-13
"2365","Finland",155,0,1,2020-03-13
"2366","France",3667,79,12,2020-03-13
"2367","French Guiana",5,0,0,2020-03-13
"2368","Georgia",25,0,0,2020-03-13
"2369","Germany",3675,7,46,2020-03-13
"2370","Greece",190,1,0,2020-03-13
"2371","Guadeloupe",1,0,0,2020-03-13
"2372","Guinea",1,0,0,2020-03-13
"2373","Guyana",1,1,0,2020-03-13
"2374","Holy See",1,0,0,2020-03-13
"2375","Honduras",2,0,0,2020-03-13
"2376","Hungary",19,0,0,2020-03-13
"2377","Iceland",134,0,1,2020-03-13
"2378","India",82,2,4,2020-03-13
"2379","Indonesia",69,4,2,2020-03-13
"2380","Iran",11364,514,2959,2020-03-13
"2381","Iraq",101,9,24,2020-03-13
"2382","Ireland",90,1,0,2020-03-13
"2383","Israel",161,0,4,2020-03-13
"2384","Italy",17660,1266,1439,2020-03-13
"2385","Jamaica",8,0,0,2020-03-13
"2386","Japan",701,19,118,2020-03-13
"2387","Jordan",1,0,1,2020-03-13
"2388","Kazakhstan",4,0,0,2020-03-13
"2389","Kenya",1,0,0,2020-03-13
"2390","Korea, South",7979,66,510,2020-03-13
"2391","Kuwait",80,0,5,2020-03-13
"2392","Latvia",17,0,1,2020-03-13
"2393","Lebanon",77,3,1,2020-03-13
"2394","Liechtenstein",1,0,0,2020-03-13
"2395","Lithuania",6,0,0,2020-03-13
"2396","Luxembourg",34,0,0,2020-03-13
"2397","Malaysia",197,0,26,2020-03-13
"2398","Maldives",9,0,0,2020-03-13
"2399","Malta",12,0,1,2020-03-13
"2400","Martinique",3,0,0,2020-03-13
"2401","Mexico",12,0,4,2020-03-13
"2402","Moldova",6,0,0,2020-03-13
"2403","Monaco",2,0,0,2020-03-13
"2404","Mongolia",1,0,0,2020-03-13
"2405","Morocco",7,1,1,2020-03-13
"2406","Nepal",1,0,1,2020-03-13
"2407","Netherlands",804,10,0,2020-03-13
"2408","New Zealand",5,0,0,2020-03-13
"2409","Nigeria",2,0,0,2020-03-13
"2410","North Macedonia",14,0,1,2020-03-13
"2411","Norway",996,0,1,2020-03-13
"2412","Oman",19,0,9,2020-03-13
"2413","Pakistan",28,0,2,2020-03-13
"2414","Panama",27,1,0,2020-03-13
"2415","Paraguay",6,0,0,2020-03-13
"2416","Peru",28,0,0,2020-03-13
"2417","Philippines",64,5,2,2020-03-13
"2418","Poland",68,2,0,2020-03-13
"2419","Portugal",112,0,1,2020-03-13
"2420","Qatar",320,0,0,2020-03-13
"2421","Reunion",5,0,0,2020-03-13
"2422","Romania",89,0,7,2020-03-13
"2423","Russia",45,0,3,2020-03-13
"2424","San Marino",80,5,0,2020-03-13
"2425","Saudi Arabia",86,0,1,2020-03-13
"2426","Senegal",10,0,1,2020-03-13
"2427","Serbia",35,0,0,2020-03-13
"2428","Singapore",200,0,97,2020-03-13
"2429","Slovakia",32,0,0,2020-03-13
"2430","Slovenia",141,0,0,2020-03-13
"2431","South Africa",24,0,0,2020-03-13
"2432","Spain",5232,133,193,2020-03-13
"2433","Sri Lanka",6,0,1,2020-03-13
"2434","Sudan",1,1,0,2020-03-13
"2435","Sweden",814,1,1,2020-03-13
"2436","Switzerland",1139,11,4,2020-03-13
"2437","Taiwan*",50,1,20,2020-03-13
"2438","Thailand",75,1,35,2020-03-13
"2439","Togo",1,0,0,2020-03-13
"2440","Tunisia",16,0,0,2020-03-13
"2441","Turkey",5,0,0,2020-03-13
"2442","Ukraine",3,1,0,2020-03-13
"2443","United Arab Emirates",85,0,17,2020-03-13
"2444","United Kingdom",801,8,19,2020-03-13
"2445","US",2179,47,12,2020-03-13
"2446","Vietnam",47,0,16,2020-03-13
"2447","Afghanistan",11,0,0,2020-03-14
"2448","Albania",38,1,0,2020-03-14
"2449","Algeria",37,3,12,2020-03-14
"2450","Andorra",1,0,1,2020-03-14
"2451","Antigua and Barbuda",1,0,0,2020-03-14
"2452","Argentina",34,2,1,2020-03-14
"2453","Armenia",18,0,0,2020-03-14
"2454","Aruba",2,0,0,2020-03-14
"2455","Australia",250,3,23,2020-03-14
"2456","Austria",655,1,6,2020-03-14
"2457","Azerbaijan",15,1,3,2020-03-14
"2458","Bahrain",210,0,44,2020-03-14
"2459","Bangladesh",3,0,0,2020-03-14
"2460","Belarus",27,0,3,2020-03-14
"2461","Belgium",689,4,1,2020-03-14
"2462","Bhutan",1,0,0,2020-03-14
"2463","Bolivia",10,0,0,2020-03-14
"2464","Bosnia and Herzegovina",18,0,0,2020-03-14
"2465","Brazil",151,0,0,2020-03-14
"2466","Brunei",40,0,0,2020-03-14
"2467","Bulgaria",41,2,0,2020-03-14
"2468","Burkina Faso",2,0,0,2020-03-14
"2469","Cambodia",7,0,1,2020-03-14
"2470","Cameroon",2,0,0,2020-03-14
"2471","Canada",196,1,8,2020-03-14
"2472","Cayman Islands",1,0,0,2020-03-14
"2473","Chile",61,0,0,2020-03-14
"2474","China",80977,3193,65660,2020-03-14
"2475","Colombia",22,0,0,2020-03-14
"2476","Congo (Kinshasa)",2,0,0,2020-03-14
"2477","Costa Rica",26,0,0,2020-03-14
"2478","Cote d'Ivoire",1,0,0,2020-03-14
"2479","Croatia",38,0,1,2020-03-14
"2480","Cruise Ship",696,7,325,2020-03-14
"2481","Cuba",4,0,0,2020-03-14
"2482","Curacao",1,0,0,2020-03-14
"2483","Cyprus",26,0,0,2020-03-14
"2484","Czechia",189,0,0,2020-03-14
"2485","Denmark",836,1,1,2020-03-14
"2486","Dominican Republic",11,0,0,2020-03-14
"2487","Ecuador",28,2,0,2020-03-14
"2488","Egypt",109,2,27,2020-03-14
"2489","Estonia",115,0,0,2020-03-14
"2490","Eswatini",1,0,0,2020-03-14
"2491","Ethiopia",1,0,0,2020-03-14
"2492","Finland",225,0,1,2020-03-14
"2493","France",4480,91,12,2020-03-14
"2494","French Guiana",5,0,0,2020-03-14
"2495","Gabon",1,0,0,2020-03-14
"2496","Georgia",30,0,0,2020-03-14
"2497","Germany",4585,9,46,2020-03-14
"2498","Ghana",3,0,0,2020-03-14
"2499","Greece",228,3,8,2020-03-14
"2500","Guadeloupe",1,0,0,2020-03-14
"2501","Guatemala",1,0,0,2020-03-14
"2502","Guernsey",1,0,0,2020-03-14
"2503","Guinea",1,0,0,2020-03-14
"2504","Guyana",1,1,0,2020-03-14
"2505","Holy See",1,0,0,2020-03-14
"2506","Honduras",2,0,0,2020-03-14
"2507","Hungary",30,0,1,2020-03-14
"2508","Iceland",156,0,1,2020-03-14
"2509","India",102,2,4,2020-03-14
"2510","Indonesia",96,5,8,2020-03-14
"2511","Iran",12729,611,2959,2020-03-14
"2512","Iraq",110,10,26,2020-03-14
"2513","Ireland",129,2,0,2020-03-14
"2514","Israel",193,0,4,2020-03-14
"2515","Italy",21157,1441,1966,2020-03-14
"2516","Jamaica",8,0,0,2020-03-14
"2517","Japan",773,22,118,2020-03-14
"2518","Jersey",2,0,0,2020-03-14
"2519","Jordan",1,0,1,2020-03-14
"2520","Kazakhstan",6,0,0,2020-03-14
"2521","Kenya",1,0,0,2020-03-14
"2522","Korea, South",8086,72,510,2020-03-14
"2523","Kuwait",104,0,5,2020-03-14
"2524","Latvia",26,0,1,2020-03-14
"2525","Lebanon",93,3,1,2020-03-14
"2526","Liechtenstein",4,0,0,2020-03-14
"2527","Lithuania",8,0,0,2020-03-14
"2528","Luxembourg",51,1,0,2020-03-14
"2529","Malaysia",238,0,35,2020-03-14
"2530","Maldives",10,0,0,2020-03-14
"2531","Malta",18,0,1,2020-03-14
"2532","Martinique",9,0,0,2020-03-14
"2533","Mauritania",1,0,0,2020-03-14
"2534","Mexico",26,0,4,2020-03-14
"2535","Moldova",12,0,0,2020-03-14
"2536","Monaco",2,0,0,2020-03-14
"2537","Mongolia",1,0,0,2020-03-14
"2538","Morocco",17,1,1,2020-03-14
"2539","Namibia",2,0,0,2020-03-14
"2540","Nepal",1,0,1,2020-03-14
"2541","Netherlands",959,12,2,2020-03-14
"2542","New Zealand",6,0,0,2020-03-14
"2543","Nigeria",2,0,0,2020-03-14
"2544","North Macedonia",14,0,1,2020-03-14
"2545","Norway",1090,3,1,2020-03-14
"2546","occupied Palestinian territory",0,0,0,2020-03-14
"2547","Oman",19,0,9,2020-03-14
"2548","Pakistan",31,0,2,2020-03-14
"2549","Panama",36,1,0,2020-03-14
"2550","Paraguay",6,0,0,2020-03-14
"2551","Peru",38,0,0,2020-03-14
"2552","Philippines",111,8,2,2020-03-14
"2553","Poland",103,3,0,2020-03-14
"2554","Portugal",169,0,2,2020-03-14
"2555","Qatar",337,0,4,2020-03-14
"2556","Reunion",6,0,0,2020-03-14
"2557","Romania",123,0,9,2020-03-14
"2558","Russia",59,0,8,2020-03-14
"2559","Rwanda",1,0,0,2020-03-14
"2560","Saint Lucia",1,0,0,2020-03-14
"2561","Saint Vincent and the Grenadines",1,0,0,2020-03-14
"2562","San Marino",80,5,4,2020-03-14
"2563","Saudi Arabia",103,0,1,2020-03-14
"2564","Senegal",10,0,1,2020-03-14
"2565","Serbia",46,0,0,2020-03-14
"2566","Seychelles",2,0,0,2020-03-14
"2567","Singapore",212,0,105,2020-03-14
"2568","Slovakia",44,0,0,2020-03-14
"2569","Slovenia",181,1,0,2020-03-14
"2570","South Africa",38,0,0,2020-03-14
"2571","Spain",6391,195,517,2020-03-14
"2572","Sri Lanka",10,0,1,2020-03-14
"2573","Sudan",1,1,0,2020-03-14
"2574","Suriname",1,0,0,2020-03-14
"2575","Sweden",961,2,1,2020-03-14
"2576","Switzerland",1359,13,4,2020-03-14
"2577","Taiwan*",53,1,20,2020-03-14
"2578","Thailand",82,1,35,2020-03-14
"2579","Togo",1,0,0,2020-03-14
"2580","Trinidad and Tobago",2,0,0,2020-03-14
"2581","Tunisia",18,0,0,2020-03-14
"2582","Turkey",5,0,0,2020-03-14
"2583","Ukraine",3,1,0,2020-03-14
"2584","United Arab Emirates",85,0,17,2020-03-14
"2585","United Kingdom",1143,21,19,2020-03-14
"2586","Uruguay",4,0,0,2020-03-14
"2587","US",2726,54,12,2020-03-14
"2588","Venezuela",2,0,0,2020-03-14
"2589","Vietnam",53,0,16,2020-03-14
"2590","Afghanistan",16,0,0,2020-03-15
"2591","Albania",42,1,0,2020-03-15
"2592","Algeria",48,4,12,2020-03-15
"2593","Andorra",1,0,1,2020-03-15
"2594","Antigua and Barbuda",1,0,0,2020-03-15
"2595","Argentina",45,2,1,2020-03-15
"2596","Armenia",26,0,0,2020-03-15
"2597","Aruba",2,0,0,2020-03-15
"2598","Australia",297,3,23,2020-03-15
"2599","Austria",860,1,6,2020-03-15
"2600","Azerbaijan",23,1,6,2020-03-15
"2601","Bahrain",214,0,60,2020-03-15
"2602","Bangladesh",5,0,0,2020-03-15
"2603","Belarus",27,0,3,2020-03-15
"2604","Belgium",886,4,1,2020-03-15
"2605","Bhutan",1,0,0,2020-03-15
"2606","Bolivia",10,0,0,2020-03-15
"2607","Bosnia and Herzegovina",24,0,0,2020-03-15
"2608","Brazil",162,0,0,2020-03-15
"2609","Brunei",50,0,0,2020-03-15
"2610","Bulgaria",51,2,0,2020-03-15
"2611","Burkina Faso",3,0,0,2020-03-15
"2612","Cambodia",7,0,1,2020-03-15
"2613","Cameroon",2,0,0,2020-03-15
"2614","Canada",250,1,8,2020-03-15
"2615","Cayman Islands",1,0,0,2020-03-15
"2616","Central African Republic",1,0,0,2020-03-15
"2617","Chile",74,0,0,2020-03-15
"2618","China",81003,3203,67017,2020-03-15
"2619","Colombia",34,0,0,2020-03-15
"2620","Congo (Brazzaville)",1,0,0,2020-03-15
"2621","Congo (Kinshasa)",2,0,0,2020-03-15
"2622","Costa Rica",27,0,0,2020-03-15
"2623","Cote d'Ivoire",1,0,0,2020-03-15
"2624","Croatia",49,0,1,2020-03-15
"2625","Cruise Ship",696,7,325,2020-03-15
"2626","Cuba",4,0,0,2020-03-15
"2627","Curacao",1,0,0,2020-03-15
"2628","Cyprus",26,0,0,2020-03-15
"2629","Czechia",253,0,0,2020-03-15
"2630","Denmark",875,2,1,2020-03-15
"2631","Dominican Republic",11,0,0,2020-03-15
"2632","Ecuador",28,2,0,2020-03-15
"2633","Egypt",110,2,21,2020-03-15
"2634","Equatorial Guinea",1,0,0,2020-03-15
"2635","Estonia",171,0,1,2020-03-15
"2636","Eswatini",1,0,0,2020-03-15
"2637","Ethiopia",1,0,0,2020-03-15
"2638","Finland",244,0,10,2020-03-15
"2639","France",4513,91,12,2020-03-15
"2640","Gabon",1,0,0,2020-03-15
"2641","Georgia",33,0,0,2020-03-15
"2642","Germany",5795,11,46,2020-03-15
"2643","Ghana",6,0,0,2020-03-15
"2644","Greece",331,4,8,2020-03-15
"2645","Guadeloupe",3,0,0,2020-03-15
"2646","Guatemala",1,0,0,2020-03-15
"2647","Guernsey",1,0,0,2020-03-15
"2648","Guinea",1,0,0,2020-03-15
"2649","Guyana",4,1,0,2020-03-15
"2650","Holy See",1,0,0,2020-03-15
"2651","Honduras",3,0,0,2020-03-15
"2652","Hungary",32,1,1,2020-03-15
"2653","Iceland",171,5,8,2020-03-15
"2654","India",113,2,13,2020-03-15
"2655","Indonesia",117,5,8,2020-03-15
"2656","Iran",13938,724,4590,2020-03-15
"2657","Iraq",116,10,26,2020-03-15
"2658","Ireland",129,2,0,2020-03-15
"2659","Israel",251,0,4,2020-03-15
"2660","Italy",24747,1809,2335,2020-03-15
"2661","Jamaica",10,0,0,2020-03-15
"2662","Japan",839,22,118,2020-03-15
"2663","Jersey",2,0,0,2020-03-15
"2664","Jordan",8,0,1,2020-03-15
"2665","Kazakhstan",9,0,0,2020-03-15
"2666","Kenya",3,0,0,2020-03-15
"2667","Korea, South",8162,75,510,2020-03-15
"2668","Kosovo",2,0,0,2020-03-15
"2669","Kuwait",112,0,5,2020-03-15
"2670","Latvia",30,0,1,2020-03-15
"2671","Lebanon",110,3,1,2020-03-15
"2672","Liechtenstein",4,0,0,2020-03-15
"2673","Lithuania",12,0,1,2020-03-15
"2674","Luxembourg",59,1,0,2020-03-15
"2675","Malaysia",428,0,42,2020-03-15
"2676","Maldives",13,0,0,2020-03-15
"2677","Malta",21,0,1,2020-03-15
"2678","Martinique",9,0,0,2020-03-15
"2679","Mauritania",1,0,0,2020-03-15
"2680","Mexico",41,0,4,2020-03-15
"2681","Moldova",23,0,0,2020-03-15
"2682","Monaco",2,0,0,2020-03-15
"2683","Mongolia",1,0,0,2020-03-15
"2684","Morocco",28,1,1,2020-03-15
"2685","Namibia",2,0,0,2020-03-15
"2686","Nepal",1,0,1,2020-03-15
"2687","Netherlands",1135,20,2,2020-03-15
"2688","New Zealand",8,0,0,2020-03-15
"2689","Nigeria",2,0,0,2020-03-15
"2690","North Macedonia",14,0,1,2020-03-15
"2691","Norway",1221,3,1,2020-03-15
"2692","occupied Palestinian territory",0,0,0,2020-03-15
"2693","Oman",22,0,9,2020-03-15
"2694","Pakistan",53,0,2,2020-03-15
"2695","Panama",43,1,0,2020-03-15
"2696","Paraguay",6,0,0,2020-03-15
"2697","Peru",43,0,0,2020-03-15
"2698","Philippines",140,11,2,2020-03-15
"2699","Poland",119,3,0,2020-03-15
"2700","Portugal",245,0,2,2020-03-15
"2701","Qatar",401,0,4,2020-03-15
"2702","Reunion",7,0,0,2020-03-15
"2703","Romania",131,0,9,2020-03-15
"2704","Russia",63,0,8,2020-03-15
"2705","Rwanda",1,0,0,2020-03-15
"2706","Saint Lucia",2,0,0,2020-03-15
"2707","Saint Vincent and the Grenadines",1,0,0,2020-03-15
"2708","San Marino",101,5,4,2020-03-15
"2709","Saudi Arabia",103,0,1,2020-03-15
"2710","Senegal",24,0,1,2020-03-15
"2711","Serbia",48,0,0,2020-03-15
"2712","Seychelles",2,0,0,2020-03-15
"2713","Singapore",226,0,105,2020-03-15
"2714","Slovakia",54,0,0,2020-03-15
"2715","Slovenia",219,1,0,2020-03-15
"2716","South Africa",51,0,0,2020-03-15
"2717","Spain",7798,289,517,2020-03-15
"2718","Sri Lanka",18,0,1,2020-03-15
"2719","Sudan",1,1,0,2020-03-15
"2720","Suriname",1,0,0,2020-03-15
"2721","Sweden",1022,3,1,2020-03-15
"2722","Switzerland",2200,14,4,2020-03-15
"2723","Taiwan*",59,1,20,2020-03-15
"2724","Thailand",114,1,35,2020-03-15
"2725","Togo",1,0,0,2020-03-15
"2726","Trinidad and Tobago",2,0,0,2020-03-15
"2727","Tunisia",18,0,0,2020-03-15
"2728","Turkey",6,0,0,2020-03-15
"2729","Ukraine",3,1,0,2020-03-15
"2730","United Arab Emirates",98,0,23,2020-03-15
"2731","United Kingdom",1144,21,19,2020-03-15
"2732","Uruguay",4,0,0,2020-03-15
"2733","US",3499,63,12,2020-03-15
"2734","Uzbekistan",1,0,0,2020-03-15
"2735","Venezuela",10,0,0,2020-03-15
"2736","Vietnam",56,0,16,2020-03-15
"2737","Afghanistan",21,0,1,2020-03-16
"2738","Albania",51,1,0,2020-03-16
"2739","Algeria",54,4,12,2020-03-16
"2740","Andorra",2,0,1,2020-03-16
"2741","Antigua and Barbuda",1,0,0,2020-03-16
"2742","Argentina",56,2,1,2020-03-16
"2743","Armenia",52,0,0,2020-03-16
"2744","Aruba",2,0,0,2020-03-16
"2745","Australia",377,3,23,2020-03-16
"2746","Austria",1018,3,6,2020-03-16
"2747","Azerbaijan",15,1,6,2020-03-16
"2748","Bahrain",214,1,77,2020-03-16
"2749","Bangladesh",8,0,2,2020-03-16
"2750","Belarus",36,0,3,2020-03-16
"2751","Belgium",1058,5,1,2020-03-16
"2752","Benin",1,0,0,2020-03-16
"2753","Bhutan",1,0,0,2020-03-16
"2754","Bolivia",11,0,0,2020-03-16
"2755","Bosnia and Herzegovina",25,0,0,2020-03-16
"2756","Brazil",200,0,1,2020-03-16
"2757","Brunei",54,0,0,2020-03-16
"2758","Bulgaria",52,2,0,2020-03-16
"2759","Burkina Faso",15,0,0,2020-03-16
"2760","Cambodia",7,0,1,2020-03-16
"2761","Cameroon",4,0,0,2020-03-16
"2762","Canada",415,4,9,2020-03-16
"2763","Central African Republic",1,0,0,2020-03-16
"2764","Chile",155,0,0,2020-03-16
"2765","China",81033,3217,67910,2020-03-16
"2766","Colombia",54,0,0,2020-03-16
"2767","Congo (Brazzaville)",1,0,0,2020-03-16
"2768","Congo (Kinshasa)",2,0,0,2020-03-16
"2769","Costa Rica",35,0,0,2020-03-16
"2770","Cote d'Ivoire",1,0,0,2020-03-16
"2771","Croatia",57,0,2,2020-03-16
"2772","Cruise Ship",696,7,325,2020-03-16
"2773","Cuba",4,0,0,2020-03-16
"2774","Cyprus",33,0,0,2020-03-16
"2775","Czechia",298,0,3,2020-03-16
"2776","Denmark",932,3,1,2020-03-16
"2777","Dominican Republic",11,0,0,2020-03-16
"2778","Ecuador",37,2,0,2020-03-16
"2779","Egypt",150,2,27,2020-03-16
"2780","Equatorial Guinea",1,0,0,2020-03-16
"2781","Estonia",205,0,1,2020-03-16
"2782","Eswatini",1,0,0,2020-03-16
"2783","Ethiopia",5,0,0,2020-03-16
"2784","Finland",277,0,10,2020-03-16
"2785","France",6650,148,12,2020-03-16
"2786","French Guiana",11,0,0,2020-03-16
"2787","Gabon",1,0,0,2020-03-16
"2788","Georgia",33,0,1,2020-03-16
"2789","Germany",7272,17,67,2020-03-16
"2790","Ghana",6,0,0,2020-03-16
"2791","Greece",331,4,8,2020-03-16
"2792","Greenland",1,0,0,2020-03-16
"2793","Guadeloupe",6,0,0,2020-03-16
"2794","Guam",3,0,0,2020-03-16
"2795","Guatemala",2,1,0,2020-03-16
"2796","Guernsey",1,0,0,2020-03-16
"2797","Guinea",1,0,0,2020-03-16
"2798","Guyana",4,1,0,2020-03-16
"2799","Holy See",1,0,0,2020-03-16
"2800","Honduras",6,0,0,2020-03-16
"2801","Hungary",39,1,1,2020-03-16
"2802","Iceland",180,0,0,2020-03-16
"2803","India",119,2,13,2020-03-16
"2804","Indonesia",134,5,8,2020-03-16
"2805","Iran",14991,853,4590,2020-03-16
"2806","Iraq",124,10,26,2020-03-16
"2807","Ireland",169,2,0,2020-03-16
"2808","Israel",255,0,4,2020-03-16
"2809","Italy",27980,2158,2749,2020-03-16
"2810","Jamaica",10,0,2,2020-03-16
"2811","Japan",825,27,144,2020-03-16
"2812","Jersey",2,0,0,2020-03-16
"2813","Jordan",17,0,1,2020-03-16
"2814","Kazakhstan",10,0,0,2020-03-16
"2815","Kenya",3,0,0,2020-03-16
"2816","Korea, South",8236,75,1137,2020-03-16
"2817","Kosovo",2,0,0,2020-03-16
"2818","Kuwait",123,0,9,2020-03-16
"2819","Latvia",34,0,1,2020-03-16
"2820","Lebanon",99,3,1,2020-03-16
"2821","Liberia",1,0,0,2020-03-16
"2822","Liechtenstein",4,0,0,2020-03-16
"2823","Lithuania",17,0,1,2020-03-16
"2824","Luxembourg",77,1,0,2020-03-16
"2825","Malaysia",566,0,42,2020-03-16
"2826","Maldives",13,0,0,2020-03-16
"2827","Malta",30,0,2,2020-03-16
"2828","Martinique",15,1,0,2020-03-16
"2829","Mauritania",1,0,0,2020-03-16
"2830","Mayotte",1,0,0,2020-03-16
"2831","Mexico",53,0,4,2020-03-16
"2832","Moldova",23,0,0,2020-03-16
"2833","Monaco",7,0,0,2020-03-16
"2834","Mongolia",1,0,0,2020-03-16
"2835","Morocco",29,1,1,2020-03-16
"2836","Namibia",2,0,0,2020-03-16
"2837","Nepal",1,0,1,2020-03-16
"2838","Netherlands",1414,24,2,2020-03-16
"2839","New Zealand",8,0,0,2020-03-16
"2840","Nigeria",2,0,0,2020-03-16
"2841","North Macedonia",18,0,1,2020-03-16
"2842","Norway",1333,3,1,2020-03-16
"2843","occupied Palestinian territory",0,0,0,2020-03-16
"2844","Oman",22,0,9,2020-03-16
"2845","Pakistan",136,0,2,2020-03-16
"2846","Panama",55,1,0,2020-03-16
"2847","Paraguay",8,0,0,2020-03-16
"2848","Peru",86,0,0,2020-03-16
"2849","Philippines",142,12,2,2020-03-16
"2850","Poland",177,4,13,2020-03-16
"2851","Portugal",331,0,3,2020-03-16
"2852","Puerto Rico",3,0,0,2020-03-16
"2853","Qatar",439,0,4,2020-03-16
"2854","Republic of the Congo",1,0,0,2020-03-16
"2855","Reunion",9,0,0,2020-03-16
"2856","Romania",158,0,9,2020-03-16
"2857","Russia",90,0,8,2020-03-16
"2858","Rwanda",5,0,0,2020-03-16
"2859","Saint Lucia",2,0,0,2020-03-16
"2860","Saint Vincent and the Grenadines",1,0,0,2020-03-16
"2861","San Marino",109,7,4,2020-03-16
"2862","Saudi Arabia",118,0,2,2020-03-16
"2863","Senegal",24,0,2,2020-03-16
"2864","Serbia",55,0,1,2020-03-16
"2865","Seychelles",3,0,0,2020-03-16
"2866","Singapore",243,0,109,2020-03-16
"2867","Slovakia",63,0,0,2020-03-16
"2868","Slovenia",253,1,0,2020-03-16
"2869","Somalia",1,0,0,2020-03-16
"2870","South Africa",62,0,0,2020-03-16
"2871","Spain",9942,342,530,2020-03-16
"2872","Sri Lanka",28,0,1,2020-03-16
"2873","Sudan",1,1,0,2020-03-16
"2874","Suriname",1,0,0,2020-03-16
"2875","Sweden",1103,6,1,2020-03-16
"2876","Switzerland",2200,14,4,2020-03-16
"2877","Taiwan*",67,1,20,2020-03-16
"2878","Tanzania",1,0,0,2020-03-16
"2879","Thailand",147,1,35,2020-03-16
"2880","The Bahamas",1,0,0,2020-03-16
